HS,BEC17
10121,712010
10129,1111
10130,1111
10190,1111
10221,112010
10229,1111
10231,112010
10239,1111
10290,1111
10310,112010
10391,1111
10392,1111
10410,1111
10420,1111
10511,1111
10512,1111
10513,1111
10514,1111
10515,1111
10594,1111
10599,1111
10611,1111
10612,1111
10613,1111
10614,1111
10619,1111
10620,1111
10631,1111
10632,1111
10633,1111
10639,1111
10641,1111
10649,1111
10690,1111
20110,111210
20120,113101
20130,113101
20210,111210
20220,113101
20230,113101
20311,111210
20312,113101
20319,113101
20321,111210
20322,113101
20329,113101
20410,111210
20421,111210
20422,113101
20423,113101
20430,111210
20441,111210
20442,113101
20443,113101
20450,113101
20500,111210
20610,113101
20621,113101
20622,113101
20629,113101
20630,113101
20641,113101
20649,113101
20680,113101
20690,113101
20711,113101
20712,113101
20713,113101
20714,113101
20724,113101
20725,113101
20726,113101
20727,113101
20741,113101
20742,113101
20743,113101
20744,113101
20745,113101
20751,113101
20752,113101
20753,113101
20754,113101
20755,113101
20760,113101
20810,113101
20830,113101
20840,113101
20850,113101
20860,113101
20890,113101
20910,111210
20990,111210
21011,113101
21012,113101
21019,113101
21020,113101
21091,113101
21092,113101
21093,113101
21099,113101
30111,713101
30119,713101
30191,713101
30192,713101
30193,713101
30194,713101
30195,713101
30199,713101
30211,113101
30213,113101
30214,113101
30219,113101
30221,113101
30222,113101
30223,113101
30224,113101
30229,113101
30231,113101
30232,113101
30233,113101
30234,113101
30235,113101
30236,113101
30239,113101
30241,113101
30242,113101
30243,113101
30244,113101
30245,113101
30246,113101
30247,113101
30249,113101
30251,113101
30252,113101
30253,113101
30254,113101
30255,113101
30256,113101
30259,113101
30271,113101
30272,113101
30273,113101
30274,113101
30279,113101
30281,113101
30282,113101
30283,113101
30284,113101
30285,113101
30289,113101
30291,113101
30292,113101
30299,113101
30311,113101
30312,113101
30313,113101
30314,113101
30319,113101
30323,113101
30324,113101
30325,113101
30326,113101
30329,113101
30331,113101
30332,113101
30333,113101
30334,113101
30339,113101
30341,113101
30342,113101
30343,113101
30344,113101
30345,113101
30346,113101
30349,113101
30351,113101
30353,113101
30354,113101
30355,113101
30356,113101
30357,113101
30359,113101
30363,113101
30364,113101
30365,113101
30366,113101
30367,113101
30368,113101
30369,113101
30381,113101
30382,113101
30383,113101
30384,113101
30389,113101
30391,113101
30392,113101
30399,113101
30431,113101
30432,113101
30433,113101
30439,113101
30441,113101
30442,113101
30443,113101
30444,113101
30445,113101
30446,113101
30447,113101
30448,113101
30449,113101
30451,113101
30452,113101
30453,113101
30454,113101
30455,113101
30456,113101
30457,113101
30459,113101
30461,113101
30462,113101
30463,113101
30469,113101
30471,113101
30472,113101
30473,113101
30474,113101
30475,113101
30479,113101
30481,113101
30482,113101
30483,113101
30484,113101
30485,113101
30486,113101
30487,113101
30488,113101
30489,113101
30491,113101
30492,113101
30493,113101
30494,113101
30495,113101
30496,113101
30497,113101
30499,113101
30510,111210
30520,113101
30531,113101
30532,113101
30539,113101
30541,113101
30542,113101
30543,113101
30544,113101
30549,113101
30551,113101
30552,113101
30553,113101
30554,113101
30559,113101
30561,113101
30562,113101
30563,113101
30564,113101
30569,113101
30571,113101
30572,113101
30579,113101
30611,113101
30612,113101
30614,113101
30615,113101
30616,113101
30617,113101
30619,113101
30631,113101
30632,113101
30633,113101
30634,113101
30635,113101
30636,113101
30639,113101
30691,113101
30692,113101
30693,113101
30694,113101
30695,113101
30699,113101
30711,113101
30712,113101
30719,113101
30721,113101
30722,113101
30729,113101
30731,113101
30732,113101
30739,113101
30742,113101
30743,113101
30749,113101
30751,113101
30752,113101
30759,113101
30760,113101
30771,113101
30772,113101
30779,113101
30781,113101
30782,113101
30783,113101
30784,113101
30787,113101
30788,113101
30791,113101
30792,113101
30799,113101
30811,113101
30812,113101
30819,113101
30821,113101
30822,113101
30829,113101
30830,113101
30890,113101
40110,113101
40120,113101
40140,113101
40150,113101
40210,111210
40221,113101
40229,113101
40291,113101
40299,113101
40310,113101
40390,113101
40410,111210
40490,111210
40510,113101
40520,113101
40590,113101
40610,113101
40620,113101
40630,113101
40640,113101
40690,113101
40711,1111
40719,1111
40721,113101
40729,113101
40790,113101
40811,111210
40819,111210
40891,111210
40899,111210
40900,113101
41000,113101
50100,7111
50210,7111
50290,7111
50400,1111
50510,3111
50590,3111
50610,1111
50690,1111
50710,1111
50790,1111
50800,1111
51000,1111
51110,1111
51191,1111
51199,1111
60110,3111
60120,3111
60210,3111
60220,3111
60230,3111
60240,3111
60290,3111
60311,313101
60312,313101
60313,313101
60314,313101
60315,313101
60319,313101
60390,313101
60420,3111
60490,3111
70110,3111
70190,113101
70200,113101
70310,113101
70320,113101
70390,113101
70410,113101
70420,113101
70490,113101
70511,113101
70519,113101
70521,113101
70529,113101
70610,113101
70690,113101
70700,113101
70810,113101
70820,113101
70890,113101
70920,113101
70930,113101
70940,113101
70951,113101
70959,113101
70960,113101
70970,113101
70991,113101
70992,113101
70993,113101
70999,113101
71010,113101
71021,113101
71022,113101
71029,113101
71030,113101
71040,113101
71080,113101
71090,113101
71120,113101
71140,113101
71151,113101
71159,113101
71190,113101
71220,113101
71231,113101
71232,113101
71233,113101
71239,113101
71290,113101
71310,113101
71320,113101
71331,113101
71332,113101
71333,113101
71334,113101
71335,113101
71339,113101
71340,113101
71350,113101
71360,113101
71390,113101
71410,113101
71420,113101
71430,113101
71440,113101
71450,113101
71490,113101
80111,1111
80112,1111
80119,1111
80121,113101
80122,113101
80131,113101
80132,113101
80211,113101
80212,113101
80221,113101
80222,113101
80231,113101
80232,113101
80241,113101
80242,113101
80251,113101
80252,113101
80261,113101
80262,113101
80270,113101
80280,113101
80290,113101
80310,113101
80390,113101
80410,113101
80420,113101
80430,113101
80440,113101
80450,113101
80510,113101
80521,113101
80522,113101
80529,113101
80540,113101
80550,113101
80590,113101
80610,113101
80620,113101
80711,113101
80719,113101
80720,113101
80810,113101
80830,113101
80840,113101
80910,113101
80921,113101
80929,113101
80930,113101
80940,113101
81010,113101
81020,113101
81030,113101
81040,113101
81050,113101
81060,113101
81070,113101
81090,113101
81110,113101
81120,113101
81190,113101
81210,1111
81290,1111
81310,113101
81320,113101
81330,113101
81340,113101
81350,113101
81400,1111
90111,1111
90112,1111
90121,113101
90122,113101
90190,113101
90210,113101
90220,113101
90230,113101
90240,113101
90300,113101
90411,113101
90412,113101
90421,113101
90422,113101
90510,113101
90520,113101
90611,113101
90619,113101
90620,113101
90710,113101
90720,113101
90811,113101
90812,113101
90821,113101
90822,113101
90831,113101
90832,113101
90921,113101
90922,113101
90931,113101
90932,113101
90961,113101
90962,113101
91011,113101
91012,113101
91020,113101
91030,113101
91091,113101
91099,113101
100111,1111
100119,1111
100191,1111
100199,1111
100210,1111
100290,1111
100310,1111
100390,1111
100410,1111
100490,1111
100510,1111
100590,1111
100610,1111
100620,1111
100630,113101
100640,113101
100710,1111
100790,1111
100810,1111
100821,1111
100829,1111
100830,1111
100840,1111
100850,1111
100860,1111
100890,1111
110100,111210
110220,111210
110290,111210
110311,111210
110313,111210
110319,111210
110320,111210
110412,113101
110419,113101
110422,113101
110423,113101
110429,113101
110430,113101
110510,111210
110520,111210
110610,111210
110620,111210
110630,111210
110710,111210
110720,111210
110811,111210
110812,111210
110813,111210
110814,111210
110819,111210
110820,111210
110900,111210
120110,1111
120190,1111
120230,1111
120241,1111
120242,1111
120300,1111
120400,1111
120510,1111
120590,1111
120600,1111
120710,1111
120721,1111
120729,1111
120730,1111
120740,1111
120750,1111
120760,1111
120770,1111
120791,1111
120799,1111
120810,111210
120890,111210
120910,1111
120921,1111
120922,1111
120923,1111
120924,1111
120925,1111
120929,1111
120930,1111
120991,1111
120999,1111
121010,1111
121020,1111
121120,1111
121130,1111
121140,1111
121150,1111
121190,1111
121221,1111
121229,1111
121291,1111
121292,1111
121293,1111
121294,1111
121299,1111
121300,1111
121410,1111
121490,1111
130120,1111
130190,1111
130211,1111
130212,1111
130213,1111
130214,1111
130219,1111
130220,1111
130231,111210
130232,111210
130239,111210
140110,1111
140120,1111
140190,1111
140420,1111
140490,1111
150110,111210
150120,111210
150190,111210
150210,111210
150290,111210
150300,111210
150410,111210
150420,111210
150430,111210
150500,111210
150600,111210
150710,111210
150790,113201
150810,111210
150890,113201
150910,113101
150990,113101
151000,111210
151110,111210
151190,111210
151211,111210
151219,113101
151221,111210
151229,111210
151311,111210
151319,111210
151321,111210
151329,111210
151411,111210
151419,113101
151491,111210
151499,113101
151511,111210
151519,111210
151521,111210
151529,113101
151530,111210
151550,111210
151590,111210
151610,111210
151620,111210
151710,113101
151790,113101
151800,111210
152000,111210
152110,111210
152190,111210
152200,111210
160100,113201
160210,113201
160220,113201
160231,113201
160232,113201
160239,113201
160241,113201
160242,113201
160249,113201
160250,113201
160290,113201
160300,111210
160411,113201
160412,113201
160413,113201
160414,113201
160415,113201
160416,113201
160417,113201
160418,113201
160419,113201
160420,113201
160431,113201
160432,113201
160510,113201
160521,113201
160529,113201
160530,113201
160540,113201
160551,113201
160552,113201
160553,113201
160554,113201
160555,113201
160556,113201
160557,113201
160558,113201
160559,113201
160561,113201
160562,113201
160563,113201
160569,113201
170112,111210
170113,111210
170114,111210
170191,111210
170199,113201
170211,111210
170219,111210
170220,113201
170230,111210
170240,111210
170250,111210
170260,111210
170290,111210
170310,111210
170390,111210
170410,113201
170490,113201
180100,1111
180200,1111
180310,111210
180320,111210
180400,111210
180500,111210
180610,113201
180620,111210
180631,113201
180632,113201
180690,113201
190110,113201
190120,113201
190190,111210
190211,113201
190219,113201
190220,113201
190230,113201
190240,113201
190300,111210
190410,113201
190420,113201
190430,113201
190490,113201
190510,113201
190520,113201
190531,113201
190532,113201
190540,113201
190590,113201
200110,113201
200190,113201
200210,113201
200290,113201
200310,113201
200390,113201
200410,113201
200490,113201
200510,113201
200520,113201
200540,113201
200551,113201
200559,113201
200560,113201
200570,113201
200580,113201
200591,113201
200599,113201
200600,113201
200710,113201
200791,113201
200799,113201
200811,113201
200819,113201
200820,113201
200830,113201
200840,113201
200850,113201
200860,113201
200870,113201
200880,113201
200891,113201
200893,113201
200897,113201
200899,113201
200911,113101
200912,113101
200919,113101
200921,113101
200929,113101
200931,113101
200939,113101
200941,113101
200949,113101
200950,113101
200961,113101
200969,113101
200971,113101
200979,113101
200981,113101
200989,113101
200990,113101
210111,113101
210112,113101
210120,113101
210130,113101
210210,111210
210220,111210
210230,111210
210310,113101
210320,113101
210330,113101
210390,113101
210410,113101
210420,113101
210500,113101
210610,113101
210690,113101
220110,113101
220190,113101
220210,113101
220291,113101
220299,113101
220300,113101
220410,113101
220421,113101
220422,113101
220429,113101
220430,113101
220510,113101
220590,113101
220600,113101
220710,211220
220720,211220
220820,113101
220830,113101
220840,113101
220850,113101
220860,113101
220870,113101
220890,113101
220900,113101
230110,111210
230120,111210
230210,111210
230230,111210
230240,111210
230250,111210
230310,111210
230320,111210
230330,111210
230400,111210
230500,111210
230610,111210
230620,111210
230630,111210
230641,111210
230649,111210
230650,111210
230660,111210
230690,111210
230700,111210
230800,111210
230910,113101
230990,111210
240110,1111
240120,1111
240130,1111
240210,113101
240220,113101
240290,113101
240311,113101
240319,113101
240391,113101
240399,113101
250100,3111
250200,3111
250300,3111
250410,3111
250490,3111
250510,3111
250590,3111
250610,3111
250620,3111
250700,3111
250810,3111
250830,3111
250840,3111
250850,3111
250860,3111
250870,3111
250900,3111
251010,3111
251020,3111
251110,3111
251120,3111
251200,3111
251310,3111
251320,3111
251400,3111
251511,3111
251512,3111
251520,3111
251611,3111
251612,3111
251620,3111
251690,3111
251710,3111
251720,3111
251730,3111
251741,3111
251749,3111
251810,3111
251820,3111
251830,3111
251910,3111
251990,3111
252010,3111
252020,311210
252100,311210
252210,311210
252220,311210
252230,311210
252310,311210
252321,311210
252329,311210
252330,311210
252390,311210
252410,3111
252490,3111
252510,3111
252520,3111
252530,3111
252610,3111
252620,3111
252800,3111
252910,3111
252921,3111
252922,3111
252930,3111
253010,3111
253020,3111
253090,3111
260111,2111
260112,2111
260120,2111
260200,2111
260300,2111
260400,2111
260500,2111
260600,2111
260700,2111
260800,2111
260900,2111
261000,2111
261100,2111
261210,2111
261220,2111
261310,2111
261390,2111
261400,2111
261510,2111
261590,2111
261610,2111
261690,2111
261710,2111
261790,2111
261800,2111
261900,2111
262011,2111
262019,2111
262021,2111
262029,2111
262030,2111
262040,2111
262060,2111
262091,2111
262099,2111
262110,2111
262190,2111
270111,2111
270112,2111
270119,213101
270120,213101
270210,213101
270220,213101
270300,213101
270400,213101
270500,213101
270600,211220
270710,211220
270720,211220
270730,211220
270740,211220
270750,211220
270791,211220
270799,211220
270810,211220
270820,211220
270900,2111
271012,213101
271019,213101
271020,213101
271091,2111
271099,2111
271111,213101
271112,213101
271113,213101
271114,213101
271119,213101
271121,213101
271129,213101
271210,211220
271220,211220
271290,211220
271311,211220
271312,211220
271320,211220
271390,211220
271410,2111
271490,2111
271500,211220
271600,213201
280110,211220
280120,211220
280130,211220
280200,211220
280300,211220
280410,211220
280421,211220
280429,211220
280430,211220
280440,211220
280450,211220
280461,211220
280469,211220
280470,211220
280480,211220
280490,211220
280511,211220
280512,211220
280519,211220
280530,211220
280540,211220
280610,211220
280620,211220
280700,211220
280800,211220
280910,211220
280920,211220
281000,211220
281111,211220
281112,211220
281119,211220
281121,211220
281122,211220
281129,211220
281211,211220
281212,211220
281213,211220
281214,211220
281215,211220
281216,211220
281217,211220
281219,211220
281290,211220
281310,211220
281390,211220
281410,211220
281420,211220
281511,211220
281512,211220
281520,211220
281530,211220
281610,211220
281640,211220
281700,211220
281810,211220
281820,211220
281830,211220
281910,211220
281990,211220
282010,211220
282090,211220
282110,211220
282120,211220
282200,211220
282300,211220
282410,211220
282490,211220
282510,211220
282520,211220
282530,211220
282540,211220
282550,211220
282560,211220
282570,211220
282580,211220
282590,211220
282612,211220
282619,211220
282630,211220
282690,211220
282710,211220
282720,211220
282731,211220
282732,211220
282735,211220
282739,211220
282741,211220
282749,211220
282751,211220
282759,211220
282760,211220
282810,211220
282890,211220
282911,211220
282919,211220
282990,211220
283010,211220
283090,211220
283110,211220
283190,211220
283210,211220
283220,211220
283230,211220
283311,211220
283319,211220
283321,211220
283322,211220
283324,211220
283325,211220
283327,211220
283329,211220
283330,211220
283340,211220
283410,211220
283421,211220
283429,211220
283510,211220
283522,211220
283524,211220
283525,211220
283526,211220
283529,211220
283531,211220
283539,211220
283620,211220
283630,211220
283640,211220
283650,211220
283660,211220
283691,211220
283692,211220
283699,211220
283711,211220
283719,211220
283720,211220
283911,211220
283919,211220
283990,211220
284011,211220
284019,211220
284020,211220
284030,211220
284130,211220
284150,211220
284161,211220
284169,211220
284170,211220
284180,211220
284190,211220
284210,211220
284290,211220
284310,211220
284321,211220
284329,211220
284330,211220
284390,211220
284410,211220
284420,211220
284430,211220
284440,211220
284450,211220
284510,211220
284590,211220
284610,211220
284690,211220
284700,211220
284910,211220
284920,211220
284990,211220
285000,211220
285210,211220
285290,211220
285310,211220
285390,211220
290110,211220
290121,211220
290122,211220
290123,211220
290124,211220
290129,211220
290211,211220
290219,211220
290220,211220
290230,211220
290241,211220
290242,211220
290243,211220
290244,211220
290250,211220
290260,211220
290270,211220
290290,211220
290311,211220
290312,211220
290313,211220
290314,211220
290315,211220
290319,211220
290321,211220
290322,211220
290323,211220
290329,211220
290331,211220
290339,211220
290371,211220
290372,211220
290373,211220
290374,211220
290375,211220
290376,211220
290377,211220
290378,211220
290379,211220
290381,211220
290382,211220
290383,211220
290389,211220
290391,211220
290392,211220
290393,211220
290394,211220
290399,211220
290410,211220
290420,211220
290431,211220
290432,211220
290433,211220
290434,211220
290435,211220
290436,211220
290491,211220
290499,211220
290511,211220
290512,211220
290513,211220
290514,211220
290516,211220
290517,211220
290519,211220
290522,211220
290529,211220
290531,211220
290532,211220
290539,211220
290541,211220
290542,211220
290543,211220
290544,211220
290545,211220
290549,211220
290551,211220
290559,211220
290611,211220
290612,211220
290613,211220
290619,211220
290621,211220
290629,211220
290711,211220
290712,211220
290713,211220
290715,211220
290719,211220
290721,211220
290722,211220
290723,211220
290729,211220
290811,211220
290819,211220
290891,211220
290892,211220
290899,211220
290911,211220
290919,211220
290920,211220
290930,211220
290941,211220
290943,211220
290944,211220
290949,211220
290950,211220
290960,211220
291010,211220
291020,211220
291030,211220
291040,211220
291050,211220
291090,211220
291100,211220
291211,211220
291212,211220
291219,211220
291221,211220
291229,211220
291241,211220
291242,211220
291249,211220
291250,211220
291260,211220
291300,211220
291411,211220
291412,211220
291413,211220
291419,211220
291422,211220
291423,211220
291429,211220
291431,211220
291439,211220
291440,211220
291450,211220
291461,211220
291462,211220
291469,211220
291471,211220
291479,211220
291511,211220
291512,211220
291513,211220
291521,211220
291524,211220
291529,211220
291531,211220
291532,211220
291533,211220
291536,211220
291539,211220
291540,211220
291550,211220
291560,211220
291570,211220
291590,211220
291611,211220
291612,211220
291613,211220
291614,211220
291615,211220
291616,211220
291619,211220
291620,211220
291631,211220
291632,211220
291634,211220
291639,211220
291711,211220
291712,211220
291713,211220
291714,211220
291719,211220
291720,211220
291732,211220
291733,211220
291734,211220
291735,211220
291736,211220
291737,211220
291739,211220
291811,211220
291812,211220
291813,211220
291814,211220
291815,211220
291816,211220
291817,211220
291818,211220
291819,211220
291821,211220
291822,211220
291823,211220
291829,211220
291830,211220
291891,211220
291899,211220
291910,211220
291990,211220
292011,211220
292019,211220
292021,211220
292022,211220
292023,211220
292024,211220
292029,211220
292030,211220
292090,211220
292111,211220
292112,211220
292113,211220
292114,211220
292119,211220
292121,211220
292122,211220
292129,211220
292130,211220
292141,211220
292142,211220
292143,211220
292144,211220
292145,211220
292146,211220
292149,211220
292151,211220
292159,211220
292211,211220
292212,211220
292214,211220
292215,211220
292216,211220
292217,211220
292218,211220
292219,211220
292221,211220
292229,211220
292231,211220
292239,211220
292241,211220
292242,211220
292243,211220
292244,211220
292249,211220
292250,211220
292310,211220
292320,211220
292330,211220
292340,211220
292390,211220
292411,211220
292412,211220
292419,211220
292421,211220
292423,211220
292424,211220
292425,211220
292429,211220
292511,211220
292512,211220
292519,211220
292521,211220
292529,211220
292610,211220
292620,211220
292630,211220
292640,211220
292690,211220
292700,211220
292800,211220
292910,211220
292990,211220
293020,211220
293030,211220
293040,211220
293060,211220
293070,211220
293080,211220
293090,211220
293110,211220
293120,211220
293131,211220
293132,211220
293133,211220
293134,211220
293135,211220
293136,211220
293137,211220
293138,211220
293139,211220
293190,211220
293211,211220
293212,211220
293213,211220
293214,211220
293219,211220
293220,211220
293291,211220
293292,211220
293293,211220
293294,211220
293295,211220
293299,211220
293311,211220
293319,211220
293321,211220
293329,211220
293331,211220
293332,211220
293333,211220
293339,211220
293341,211220
293349,211220
293352,211220
293353,211220
293354,211220
293355,211220
293359,211220
293361,211220
293369,211220
293371,211220
293372,211220
293379,211220
293391,211220
293392,211220
293399,211220
293410,211220
293420,211220
293430,211220
293491,211220
293499,211220
293510,211220
293520,211220
293530,211220
293540,211220
293550,211220
293590,211220
293621,711210
293622,711210
293623,711210
293624,711210
293625,711210
293626,711210
293627,711210
293628,711210
293629,711210
293690,711210
293711,711220
293712,711220
293719,711220
293721,711220
293722,711220
293723,711220
293729,711220
293750,711220
293790,711220
293810,711220
293890,711220
293911,711220
293919,711220
293920,711220
293930,711220
293941,711220
293942,711220
293943,711220
293944,711220
293949,711220
293951,711220
293959,711220
293961,711220
293962,711220
293963,711220
293969,711220
293971,711220
293979,711220
293980,211220
294000,711220
294110,711220
294120,711220
294130,711220
294140,711220
294150,711220
294190,711220
294200,711220
300120,711220
300190,711220
300211,711220
300212,711220
300213,711220
300214,711220
300215,711220
300219,711220
300220,711220
300230,711220
300290,711220
300310,711220
300320,711220
300331,711220
300339,711220
300341,711220
300342,711220
300343,711220
300349,711220
300360,711220
300390,711220
300410,711220
300420,711220
300431,711220
300432,711220
300439,711220
300441,711220
300442,711220
300443,711220
300449,711220
300450,711220
300460,711220
300490,711220
300510,711220
300590,711220
300610,711220
300620,711220
300630,711220
300640,711220
300650,711220
300660,711220
300670,711220
300691,711220
300692,711220
310100,111210
310210,111210
310221,111210
310229,111210
310230,111210
310240,111210
310250,111210
310260,111210
310280,111210
310290,111210
310311,111210
310319,111210
310390,111210
310420,111210
310430,111210
310490,111210
310510,111210
310520,111210
310530,111210
310540,111210
310551,111210
310559,111210
310560,111210
310590,111210
320110,311210
320120,311210
320190,311210
320210,311210
320290,311210
320300,311210
320411,311210
320412,311210
320413,311210
320414,311210
320415,311210
320416,311210
320417,311210
320419,311210
320420,311210
320490,311210
320500,311210
320611,311210
320619,311210
320620,311210
320641,311210
320642,311210
320649,311210
320650,311210
320710,311210
320720,311210
320730,311210
320740,311210
320810,311210
320820,311210
320890,311210
320910,311210
320990,311210
321000,311210
321100,311210
321210,311210
321290,311210
321310,313202
321390,313202
321410,311210
321490,311210
321511,311210
321519,311210
321590,311210
330112,711220
330113,711220
330119,711220
330124,711220
330125,711220
330129,711220
330130,711220
330190,711220
330210,711220
330290,711220
330300,713101
330410,713101
330420,713101
330430,713101
330491,713101
330499,713101
330510,713101
330520,713101
330530,713101
330590,713101
330610,713101
330620,713101
330690,713101
330710,713101
330720,713101
330730,713101
330741,713101
330749,713101
330790,713101
340111,713101
340119,713101
340120,713101
340130,713101
340211,711220
340212,711220
340213,711220
340219,711220
340220,713101
340290,711220
340311,211220
340319,211220
340391,211220
340399,211220
340420,711220
340490,711220
340510,313101
340520,313101
340530,313101
340540,313101
340590,313101
340600,313101
340700,711220
350110,311210
350190,311210
350211,111210
350219,111210
350220,111210
350290,111210
350300,111210
350400,111210
350510,311210
350520,311210
350610,313101
350691,311210
350699,311210
350710,1111
350790,111210
360100,811210
360200,811210
360300,811210
360410,811210
360490,811210
360500,813101
